        mark         | zone | number | state | level | source  |    info    
 2004-07-23 03:34:36 | S    |     83 |     1 |    15 | ArgusMS | inhabitant
 2004-07-23 03:34:38 | S    |     83 |     1 |    10 | ArgusMS | inhabitant
 2004-07-23 03:34:39 | S    |     83 |     1 |    14 | ArgusMS | inhabitant
 2004-07-23 03:34:44 | S    |     83 |     1 |    11 | ArgusMS | inhabitant
 2004-07-23 03:34:46 | S    |     83 |     1 |    15 | ArgusMS | inhabitant
 2004-07-23 03:34:47 | S    |     83 |     1 |    15 | ArgusMS | inhabitant
 2004-07-23 03:34:48 | S    |     83 |     1 |    11 | ArgusMS | inhabitant
 2004-07-23 03:34:48 | S    |     83 |     1 |    15 | ArgusMS | inhabitant
 2004-07-23 03:34:50 | S    |     83 |     1 |    10 | ArgusMS | inhabitant
 2004-07-23 03:34:50 | S    |     83 |     1 |    14 | ArgusMS | inhabitant
 2004-07-23 03:34:51 | S    |     83 |     1 |    10 | ArgusMS | inhabitant
 2004-07-23 03:34:51 | S    |     83 |     1 |    14 | ArgusMS | inhabitant
 2004-07-23 03:35:03 | S    |     83 |     1 |    10 | ArgusMS | inhabitant
 2004-07-23 03:35:07 | S    |     83 |     1 |    14 | ArgusMS | inhabitant
 2004-07-23 03:35:08 | V    |      2 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:35:09 | S    |     67 |     1 |    16 | ArgusMS | inhabitant
 2004-07-23 03:35:09 | S    |     68 |     1 |    31 | ArgusMS | inhabitant
 2004-07-23 03:35:09 | S    |     83 |     1 |    11 | ArgusMS | inhabitant
 2004-07-23 03:35:09 | V    |      2 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:35:09 | S    |     83 |     1 |    15 | ArgusMS | inhabitant
 2004-07-23 03:35:10 | S    |     67 |     1 |    12 | ArgusMS | inhabitant
 2004-07-23 03:35:10 | S    |     68 |     1 |    24 | ArgusMS | inhabitant
